model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000261,0.252,0.378,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000235,0.252,0.378,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000024,0.252,0.378,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000030,0.252,0.378,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000109,0.252,0.378,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000032,0.1,0.2,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000126,0.1,0.2,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000129,0.1,0.2,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000119,0.1,0.2,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000011,0.1,0.2,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000013,0.1,0.2,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000047,0.1,0.2,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
