model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,actual_cost_usd,reasoning_tokens_actual,actual_cost_method
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000183,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.2-3b-instruct/unimoral_moral_typology/2026-05-27T13-45-22-00-00_unimoral-moral-typology_TKWash9fqtw9TACHjc5woA.eval,accuracy,1,1,336,9,0.000020,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000185,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.2-3b-instruct/unimoral_factor_attribution/2026-05-27T13-45-25-00-00_unimoral-factor-attribution_8XBb9SCW2VGTzCZfDSupuj.eval,accuracy,1,1,372,8,0.000022,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000180,0.0509,0.335,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.2-3b-instruct/unimoral_consequence_generation/2026-05-27T13-45-28-00-00_unimoral-consequence-generation_EWPWmhXNRnEtUj8RcPfAQ3.eval,mean,1,1,252,57,0.000032,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000011,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.2-3b-instruct/value_prism_relevance/2026-05-27T13-45-31-00-00_value-prism-relevance_k7Uk8sWovcbPH6tHTRz8sW.eval,accuracy,1,1,96,3,0.000006,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.0,1,70,32,0.000014,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.2-3b-instruct/value_prism_valence/2026-05-27T13-45-34-00-00_value-prism-valence_4q38WdzWPkTS8jADSXVW4h.eval,accuracy,1,1,107,3,0.000006,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000043,0.0509,0.335,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.2-3b-instruct/ccd_bench_selection/2026-05-27T13-45-37-00-00_ccd-bench-selection_2HqSbVanXF8ieMaYQWgbmg.eval,mean,1,1,353,55,0.000036,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000007,0.02,0.05,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.1-8b-instruct/unimoral_action_prediction/2026-05-27T13-45-41-00-00_unimoral-action-prediction_Xfhuj6hdSMvnoGnCLYKeuX.eval,accuracy,1,1,266,6,0.000006,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000030,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.1-8b-instruct/unimoral_moral_typology/2026-05-27T13-45-44-00-00_unimoral-moral-typology_oRLyHaobhV3LKs5sXCfCAy.eval,accuracy,1,1,311,9,0.000007,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000031,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.1-8b-instruct/unimoral_factor_attribution/2026-05-27T13-45-47-00-00_unimoral-factor-attribution_eCXgu6uoggspidSQR6bNMa.eval,accuracy,1,1,348,3,0.000007,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000029,0.02,0.05,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.1-8b-instruct/unimoral_consequence_generation/2026-05-27T13-45-50-00-00_unimoral-consequence-generation_RgswHqQvnvWt4SHkGgEcwP.eval,mean,1,1,228,19,0.000006,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000002,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.1-8b-instruct/value_prism_relevance/2026-05-27T13-45-53-00-00_value-prism-relevance_NQ7p3MDWtSdwhfsjGM48uM.eval,accuracy,1,1,96,3,0.000002,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.0,1,70,32,0.000003,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.1-8b-instruct/value_prism_valence/2026-05-27T13-45-56-00-00_value-prism-valence_8FBhperGL5go4fwH2VnWUk.eval,accuracy,1,1,82,2,0.000002,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000010,0.02,0.05,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.1-8b-instruct/ccd_bench_selection/2026-05-27T13-45-59-00-00_ccd-bench-selection_LECYssuaWYBdDCbLPnnrM6.eval,mean,1,1,329,57,0.000009,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,1.0,1,193,64,0.000040,0.1,0.32,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.3-70b-instruct/unimoral_action_prediction/2026-05-27T13-46-03-00-00_unimoral-action-prediction_iPGMn5HjjsJk9JMtUCUSsK.eval,accuracy,1,1,266,6,0.000029,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000187,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.3-70b-instruct/unimoral_moral_typology/2026-05-27T13-46-06-00-00_unimoral-moral-typology_Qg6w2Lw3Ytu7C8VY8X2Kb6.eval,accuracy,1,1,311,8,0.000034,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,1.0,1,269,512,0.000191,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.3-70b-instruct/unimoral_factor_attribution/2026-05-27T13-46-10-00-00_unimoral-factor-attribution_m28VZkmWxfyYEyzDRo2Pqm.eval,accuracy,1,1,372,6,0.000039,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000180,0.1,0.32,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.3-70b-instruct/unimoral_consequence_generation/2026-05-27T13-46-13-00-00_unimoral-consequence-generation_D7VDJJzvMniWppD9DiDVBG.eval,mean,1,1,252,34,0.000036,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000014,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.3-70b-instruct/value_prism_relevance/2026-05-27T13-46-17-00-00_value-prism-relevance_GA8zcfZBnzharMxRrpEMh8.eval,accuracy,1,1,71,2,0.000008,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000017,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.3-70b-instruct/value_prism_valence/2026-05-27T13-46-21-00-00_value-prism-valence_LXHd4LrNxE9nJUKLtPyJpe.eval,accuracy,1,1,107,3,0.000012,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000057,0.1,0.32,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.3-70b-instruct/ccd_bench_selection/2026-05-27T13-46-24-00-00_ccd-bench-selection_6Dogr5S3BecF3cf978Jsxm.eval,mean,1,1,328,63,0.000053,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000014,0.04,0.1,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen-2.5-7b-instruct/unimoral_action_prediction/2026-05-27T13-46-40-00-00_unimoral-action-prediction_jmcTqdQKDXDWP6uTRj3Lnu.eval,accuracy,1,1,279,6,0.000012,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000061,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen-2.5-7b-instruct/unimoral_moral_typology/2026-05-27T13-46-44-00-00_unimoral-moral-typology_aEfXR58AqxRh8dQy3PUziu.eval,accuracy,1,1,321,9,0.000014,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000062,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen-2.5-7b-instruct/unimoral_factor_attribution/2026-05-27T13-46-48-00-00_unimoral-factor-attribution_fi25Jn4WoJpaUVhmq4AF8Z.eval,accuracy,1,1,340,8,0.000014,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000058,0.04,0.1,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen-2.5-7b-instruct/unimoral_consequence_generation/2026-05-27T13-46-52-00-00_unimoral-consequence-generation_DhdyetY2piNVpDSCEBTR5q.eval,mean,1,1,240,45,0.000014,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000005,0.04,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen-2.5-7b-instruct/value_prism_relevance/2026-05-27T13-46-57-00-00_value-prism-relevance_oSfiuRZUZq9Ep9XLvVAbbg.eval,accuracy,1,1,94,2,0.000004,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000006,0.04,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen-2.5-7b-instruct/value_prism_valence/2026-05-27T13-47-01-00-00_value-prism-valence_oDja8KZDozCnBw2T8avTND.eval,accuracy,1,1,105,3,0.000005,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000021,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen-2.5-7b-instruct/ccd_bench_selection/2026-05-27T13-47-06-00-00_ccd-bench-selection_AUCTACHwv5jmGVMZVdrN6Y.eval,mean,1,1,354,46,0.000019,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000017,0.04,0.15,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3.5-9b/unimoral_action_prediction/2026-05-27T13-47-12-00-00_unimoral-action-prediction_Sc48zRRY6i2rw5NLKzJKVM.eval,accuracy,1,1,194,1274,0.000421,1482,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000086,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3.5-9b/unimoral_moral_typology/2026-05-27T13-48-26-00-00_unimoral-moral-typology_YuvVtFQtQzN3utgYQkbh3H.eval,accuracy,1,1,240,2048,0.000671,2360,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000088,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3.5-9b/unimoral_factor_attribution/2026-05-27T13-48-58-00-00_unimoral-factor-attribution_QLnoMPLBDr5NgoepBnzDYE.eval,accuracy,1,1,275,2048,0.000677,2393,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000083,0.04,0.15,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3.5-9b/unimoral_consequence_generation/2026-05-27T13-49-30-00-00_unimoral-consequence-generation_5yCsd2yTVRdgFwkbNeEsfw.eval,mean,1,1,174,2048,0.000774,3066,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000006,0.04,0.15,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3.5-9b/value_prism_relevance/2026-05-27T13-51-34-00-00_value-prism-relevance_RQgMJpjBVUY5ju5oyFi9ew.eval,accuracy,1,1,75,391,0.000122,404,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,0.0,1,70,32,0.000008,0.04,0.15,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3.5-9b/value_prism_valence/2026-05-27T13-51-55-00-00_value-prism-valence_oCYGXiXhs7U355Rmi8MVrD.eval,accuracy,1,1,86,2048,0.000627,2111,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,0.0,1,314,80,0.000025,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3.5-9b/ccd_bench_selection/2026-05-27T13-53-19-00-00_ccd-bench-selection_HwJEvrrx4DBTx4hUpxHvvW.eval,mean,1,1,350,2048,0.000661,2268,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000167,0.65,0.65,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-2-27b-it/unimoral_action_prediction/2026-05-27T13-55-03-00-00_unimoral-action-prediction_ee2tjppsoDtnXevwK3g6fC.eval,accuracy,1,1,235,12,0.000161,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000486,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-2-27b-it/unimoral_moral_typology/2026-05-27T13-55-08-00-00_unimoral-moral-typology_HsBy3MY9bztbX7GR2BpRB4.eval,accuracy,1,1,273,12,0.000185,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000508,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-2-27b-it/unimoral_factor_attribution/2026-05-27T13-55-12-00-00_unimoral-factor-attribution_WofYkCXCcgfZghzstZ9VoN.eval,accuracy,1,1,300,11,0.000202,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000440,0.65,0.65,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-2-27b-it/unimoral_consequence_generation/2026-05-27T13-55-16-00-00_unimoral-consequence-generation_FTppJ8k5jCgxkDLYKxGG7o.eval,mean,1,1,201,31,0.000151,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000054,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-2-27b-it/value_prism_relevance/2026-05-27T13-55-20-00-00_value-prism-relevance_Y7b22Mzz38mvtFwUMP8G5M.eval,accuracy,1,1,67,4,0.000046,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000066,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-2-27b-it/value_prism_valence/2026-05-27T13-55-24-00-00_value-prism-valence_LqKGyXMXuHi75tDXaQT3sQ.eval,accuracy,1,1,78,7,0.000055,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000256,0.65,0.65,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-2-27b-it/ccd_bench_selection/2026-05-27T13-55-28-00-00_ccd-bench-selection_Y8q7ZTuZtMq7QcHebvfa8E.eval,mean,1,1,347,51,0.000259,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000047,0.12,0.37,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-4-31b-it/unimoral_action_prediction/2026-05-27T13-55-33-00-00_unimoral-action-prediction_aGFvya9TZN2ytFvzSnNWWu.eval,accuracy,1,1,237,7,0.000031,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000218,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-4-31b-it/unimoral_moral_typology/2026-05-27T13-55-42-00-00_unimoral-moral-typology_iUjphndnQyyE7exgABF4MY.eval,accuracy,1,1,281,12,0.000038,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000222,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-4-31b-it/unimoral_factor_attribution/2026-05-27T13-55-46-00-00_unimoral-factor-attribution_VA2PcVWUNX34uR2SZqX8fA.eval,accuracy,1,1,305,7,0.000039,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000209,0.12,0.37,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-4-31b-it/unimoral_consequence_generation/2026-05-27T13-55-55-00-00_unimoral-consequence-generation_kTCUegSCh5Y7VGqv9k3YcD.eval,mean,1,1,198,32,0.000036,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000016,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-4-31b-it/value_prism_relevance/2026-05-27T13-56-18-00-00_value-prism-relevance_ZyAVqEjNfD2YCtzEowqZ6Q.eval,accuracy,1,1,72,2,0.000009,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000020,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-4-31b-it/value_prism_valence/2026-05-27T13-56-34-00-00_value-prism-valence_npHtWzttaF4YwnPjTnd98s.eval,accuracy,1,1,83,2,0.000011,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000067,0.12,0.37,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-4-31b-it/ccd_bench_selection/2026-05-27T13-56-37-00-00_ccd-bench-selection_CUDX7Hi4ED6dJFt9MEZgiE.eval,mean,1,1,353,46,0.000059,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,1.0,1,193,64,0.000088,0.2,0.77,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3-0324/unimoral_action_prediction/2026-05-27T13-56-43-00-00_unimoral-action-prediction_CLF6bZsHvcP3ncFpHZv3er.eval,accuracy,1,1,193,6,0.000043,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000441,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3-0324/unimoral_moral_typology/2026-05-27T13-56-47-00-00_unimoral-moral-typology_bUTB3wkmvNcjAFMA6ZXcvT.eval,accuracy,1,1,302,9,0.000067,0,input + output + reasoning tokens at OpenRouter metadata rates
