model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6,20,4130,1280,0.000147,0.02,0.05,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.1-8b-instruct/unimoral_action_prediction/2026-05-27T14-20-31-00-00_unimoral-action-prediction_2Gfzmq6MUg2XdoTRRiVEM5.eval,accuracy,20,20,5404,123,0,0.000114,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.75,20,4970,10240,0.000611,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.1-8b-instruct/unimoral_moral_typology/2026-05-27T14-20-38-00-00_unimoral-moral-typology_9L8ZffvN87qAPJjvWxnAxh.eval,accuracy,20,20,6310,162,0,0.000134,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.4,20,5650,10240,0.000625,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.1-8b-instruct/unimoral_factor_attribution/2026-05-27T14-20-43-00-00_unimoral-factor-attribution_HMfeQVbTKxxiH5wkFKwLme.eval,accuracy,20,20,7029,155,0,0.000148,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.08371180814613051,20,3618,10240,0.000584,0.02,0.05,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.1-8b-instruct/unimoral_consequence_generation/2026-05-27T14-20-48-00-00_unimoral-consequence-generation_BNNhrJKb5s4tNSXhqyHDfW.eval,mean,20,20,4783,515,0,0.000121,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.7,20,986,480,0.000044,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.1-8b-instruct/value_prism_relevance/2026-05-27T14-20-55-00-00_value-prism-relevance_8hVHFGdFxQKgVBqfHMpSQD.eval,accuracy,20,20,1257,42,0,0.000027,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.3,20,1009,640,0.000052,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.1-8b-instruct/value_prism_valence/2026-05-27T14-21-00-00-00_value-prism-valence_a2UVjfQcyykK3nWQw3q4rB.eval,accuracy,20,20,1292,89,0,0.000030,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.000223,0.02,0.05,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.1-8b-instruct/ccd_bench_selection/2026-05-27T14-21-04-00-00_ccd-bench-selection_9NTxQAXzijkoe8c7Pt9dWF.eval,mean,20,20,7428,1133,0,0.000205,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.65,20,4130,1280,0.000823,0.1,0.32,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.3-70b-instruct/unimoral_action_prediction/2026-05-27T14-21-18-00-00_unimoral-action-prediction_VBaUNr8f7sPkbM6x6ELSsU.eval,accuracy,20,20,5406,120,0,0.000579,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.65,20,4970,10240,0.003774,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.3-70b-instruct/unimoral_moral_typology/2026-05-27T14-21-24-00-00_unimoral-moral-typology_LRJJQT2xy8ybksVLA4s823.eval,accuracy,20,20,6796,158,0,0.000730,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.55,20,5650,10240,0.003842,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.3-70b-instruct/unimoral_factor_attribution/2026-05-27T14-21-35-00-00_unimoral-factor-attribution_X8Ck98NZopGru9QToNSeH7.eval,accuracy,20,20,7225,150,0,0.000771,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.18389024886247402,20,3618,10240,0.003639,0.1,0.32,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.3-70b-instruct/unimoral_consequence_generation/2026-05-27T14-21-47-00-00_unimoral-consequence-generation_3w2ZeYAXKtKfVVQ8RAzeN9.eval,mean,20,20,4911,568,0,0.000673,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.75,20,986,480,0.000252,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.3-70b-instruct/value_prism_relevance/2026-05-27T14-22-01-00-00_value-prism-relevance_EpMtTfmNjg97KZRycCgReU.eval,accuracy,20,20,1428,44,0,0.000157,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.65,20,1009,640,0.000306,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.3-70b-instruct/value_prism_valence/2026-05-27T14-22-07-00-00_value-prism-valence_Cq4erw3SY4G9TvwEj6PnoS.eval,accuracy,20,20,1444,58,0,0.000163,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.001227,0.1,0.32,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.3-70b-instruct/ccd_bench_selection/2026-05-27T14-22-13-00-00_ccd-bench-selection_e3wNkLtLxVuJraEimEy7Kp.eval,mean,20,20,7628,1120,0,0.001121,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.6,20,4130,1280,0.000293,0.04,0.1,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen-2.5-7b-instruct/unimoral_action_prediction/2026-05-27T14-22-29-00-00_unimoral-action-prediction_9hLJbfX7g6kB42rqhvKvY4.eval,accuracy,20,20,5248,120,0,0.000222,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.7,20,4970,10240,0.001223,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen-2.5-7b-instruct/unimoral_moral_typology/2026-05-27T14-22-38-00-00_unimoral-moral-typology_GBpApGqPFS9LcniPiwgzqv.eval,accuracy,20,20,6088,167,0,0.000260,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.45,20,5650,10240,0.001250,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen-2.5-7b-instruct/unimoral_factor_attribution/2026-05-27T14-22-47-00-00_unimoral-factor-attribution_cLETgAfcJXcx88wYjD8TTZ.eval,accuracy,20,20,6888,142,0,0.000290,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.13334776911078436,20,3618,10240,0.001169,0.04,0.1,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen-2.5-7b-instruct/unimoral_consequence_generation/2026-05-27T14-22-56-00-00_unimoral-consequence-generation_k8BkhHPGZLYUtvSwGApNzC.eval,mean,20,20,4614,723,0,0.000257,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,0.85,20,986,480,0.000087,0.04,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen-2.5-7b-instruct/value_prism_relevance/2026-05-27T14-23-06-00-00_value-prism-relevance_HkxWfWT4R2gfKspo86C34p.eval,accuracy,20,20,1263,40,0,0.000055,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,0.7,20,1009,640,0.000104,0.04,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen-2.5-7b-instruct/value_prism_valence/2026-05-27T14-23-14-00-00_value-prism-valence_hqm5Ku3WA7PMUHLBH9mZA9.eval,accuracy,20,20,1277,54,0,0.000056,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.000446,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen-2.5-7b-instruct/ccd_bench_selection/2026-05-27T14-23-24-00-00_ccd-bench-selection_2NiW86LQv9V7BMpjHqo3Bs.eval,mean,20,20,7501,741,0,0.000374,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,20,4130,1280,0.000357,0.04,0.15,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3.5-9b/unimoral_action_prediction/2026-05-27T14-23-35-00-00_unimoral-action-prediction_KPgBptVAkb2Z8Wu2AMcpgE.eval,accuracy,20,20,4140,38895,43782,0.012567,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.2,20,4970,10240,0.001735,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3.5-9b/unimoral_moral_typology/2026-05-27T14-27-26-00-00_unimoral-moral-typology_J2XejzqNCUGs9464zS89qB.eval,accuracy,20,20,5064,38723,43213,0.012493,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.05,20,5650,10240,0.001762,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3.5-9b/unimoral_factor_attribution/2026-05-27T14-32-17-00-00_unimoral-factor-attribution_JXc4Rb6sYWWsiD9dUtgvoB.eval,accuracy,20,20,5764,40438,46478,0.013268,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0071428571428571435,20,3618,10240,0.001681,0.04,0.15,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3.5-9b/unimoral_consequence_generation/2026-05-27T14-38-30-00-00_unimoral-consequence-generation_SvBUsqiX2rHgbY5bJoeeeQ.eval,mean,20,20,3720,40584,58959,0.015080,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,0.75,20,986,480,0.000111,0.04,0.15,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3.5-9b/value_prism_relevance/2026-05-27T14-43-07-00-00_value-prism-relevance_Dr8FJkEu7Z8FcaEA5FJBgJ.eval,accuracy,20,20,1294,17496,18745,0.005488,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,0.5,20,1009,640,0.000136,0.04,0.15,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3.5-9b/value_prism_valence/2026-05-27T14-44-48-00-00_value-prism-valence_d3bExSDN4FwTkhQrnB3twk.eval,accuracy,20,20,1316,25366,27754,0.008021,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,0.0,20,7154,1600,0.000526,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3.5-9b/ccd_bench_selection/2026-05-27T14-48-27-00-00_ccd-bench-selection_HtcSgbpeoM5pnHqMSwTMcP.eval,mean,20,20,7830,40960,46346,0.013409,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.05,20,4130,1280,0.003517,0.65,0.65,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-2-27b-it/unimoral_action_prediction/2026-05-27T14-53-58-00-00_unimoral-action-prediction_e4DnyoheKTa3V5i6tqwWpk.eval,accuracy,20,20,4770,243,0,0.003258,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.6,20,4970,10240,0.009887,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-2-27b-it/unimoral_moral_typology/2026-05-27T14-54-06-00-00_unimoral-moral-typology_XvfRkvj9ykHXHVuXRWVmbo.eval,accuracy,20,20,5530,245,0,0.003754,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.45,20,5650,10240,0.010329,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-2-27b-it/unimoral_factor_attribution/2026-05-27T14-54-14-00-00_unimoral-factor-attribution_iy2z42LwsuKCH2MVzB4HtZ.eval,accuracy,20,20,6070,221,0,0.004089,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.025274755103025626,20,3618,10240,0.009008,0.65,0.65,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-2-27b-it/unimoral_consequence_generation/2026-05-27T14-54-21-00-00_unimoral-consequence-generation_mrPe5pWrepb6sSfpiT4AnJ.eval,mean,20,20,4190,548,0,0.003080,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,0.75,20,986,480,0.000953,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-2-27b-it/value_prism_relevance/2026-05-27T14-54-30-00-00_value-prism-relevance_bYffPnExgeRfpJTfwvAV54.eval,accuracy,20,20,1150,94,0,0.000809,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,0.8,20,1009,640,0.001072,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-2-27b-it/value_prism_valence/2026-05-27T14-54-38-00-00_value-prism-valence_Ty7bY5tf89QdzobvrMKWjx.eval,accuracy,20,20,1178,421,0,0.001039,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.005690,0.65,0.65,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-2-27b-it/ccd_bench_selection/2026-05-27T14-54-46-00-00_ccd-bench-selection_eAQSyKKHKdfZHTBvneQUFt.eval,mean,20,20,7774,818,0,0.005585,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.6,20,4130,1280,0.000969,0.12,0.37,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-4-31b-it/unimoral_action_prediction/2026-05-27T14-54-57-00-00_unimoral-action-prediction_UxYuAXkGCZrwpbaXAGJU9k.eval,accuracy,20,20,4779,125,0,0.000620,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.6,20,4970,10240,0.004385,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-4-31b-it/unimoral_moral_typology/2026-05-27T14-55-08-00-00_unimoral-moral-typology_6n2Z94sbsbBhu9tQuRhCJE.eval,accuracy,20,20,5663,226,0,0.000763,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5,20,5650,10240,0.004467,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-4-31b-it/unimoral_factor_attribution/2026-05-27T14-55-29-00-00_unimoral-factor-attribution_gs62hRx3AyobnuVa2Lj3ep.eval,accuracy,20,20,6143,156,0,0.000795,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.07092530155091953,20,3618,10240,0.004223,0.12,0.37,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-4-31b-it/unimoral_consequence_generation/2026-05-27T14-55-54-00-00_unimoral-consequence-generation_H3bdHsAA7joiuDvDmE7aRs.eval,mean,20,20,4110,699,0,0.000752,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,0.75,20,986,480,0.000296,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-4-31b-it/value_prism_relevance/2026-05-27T14-56-48-00-00_value-prism-relevance_6hEaLbnWfkiugsxHUuMCT9.eval,accuracy,20,20,1246,40,0,0.000164,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,0.75,20,1009,640,0.000358,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-4-31b-it/value_prism_valence/2026-05-27T14-57-00-00-00_value-prism-valence_BvYeJCJoX62a287dz3ha54.eval,accuracy,20,20,1260,44,0,0.000167,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.001450,0.12,0.37,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-4-31b-it/ccd_bench_selection/2026-05-27T14-57-16-00-00_ccd-bench-selection_6YbGgkxiB898k2uKbynPWi.eval,mean,20,20,7741,911,0,0.001266,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.2,20,4130,1280,0.001812,0.2,0.77,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3-0324/unimoral_action_prediction/2026-05-27T14-58-03-00-00_unimoral-action-prediction_GTxCZZAArWNEhUFumQjrRh.eval,accuracy,20,20,4560,131,0,0.001013,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.6,20,4970,10240,0.008879,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3-0324/unimoral_moral_typology/2026-05-27T14-58-17-00-00_unimoral-moral-typology_eagrLQFQrndNrduQcKvjE9.eval,accuracy,20,20,5349,172,0,0.001202,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5,20,5650,10240,0.009015,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3-0324/unimoral_factor_attribution/2026-05-27T14-58-32-00-00_unimoral-factor-attribution_GziVvmfjGn9TQnGPVdQWnk.eval,accuracy,20,20,6261,151,0,0.001368,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.16248626998527063,20,3618,10240,0.008608,0.2,0.77,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3-0324/unimoral_consequence_generation/2026-05-27T14-58-45-00-00_unimoral-consequence-generation_8NoYeQJsTNYeqFrMaFUVC3.eval,mean,20,20,4178,673,0,0.001354,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,0.75,20,986,480,0.000567,0.2,0.77,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3-0324/value_prism_relevance/2026-05-27T14-59-06-00-00_value-prism-relevance_KmBqpqRpLJsxGSQETsXUwg.eval,accuracy,20,20,953,33,0,0.000216,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,0.6,20,1009,640,0.000695,0.2,0.77,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3-0324/value_prism_valence/2026-05-27T14-59-20-00-00_value-prism-valence_cVLMVrtQf58FMM56AXmEFZ.eval,accuracy,20,20,1091,384,0,0.000514,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.002663,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3-0324/ccd_bench_selection/2026-05-27T14-59-38-00-00_ccd-bench-selection_hCMTN3ZrtktovJv5GcMoaz.eval,mean,20,20,7084,2006,0,0.002961,input + output + reasoning tokens at OpenRouter metadata rates
